epoch 234 loss: 0.18128950595855714, elapse time: 5.772348880767822
epoch 235 loss: 0.18244322910904884, elapse time: 5.76154088973999
epoch 236 loss: 0.17962441742420196, elapse time: 5.754935264587402
epoch 237 loss: 0.18372954726219176, elapse time: 5.7711052894592285
epoch 238 loss: 0.17932288274168967, elapse time: 5.744906187057495
epoch 239 loss: 0.1830514945089817, elapse time: 5.759435653686523
epoch 240 loss: 0.18163049593567848, elapse time: 5.768576622009277
epoch 241 loss: 0.17774055376648903, elapse time: 5.761626243591309
epoch 242 loss: 0.17936887592077255, elapse time: 5.773057222366333
epoch 243 loss: 0.18221623152494432, elapse time: 5.7702367305755615
epoch 244 loss: 0.1803882546722889, elapse time: 5.762866258621216
epoch 245 loss: 0.17925107777118682, elapse time: 5.772202491760254
epoch 246 loss: 0.18015323355793952, elapse time: 5.773424863815308
epoch 247 loss: 0.1812147319316864, elapse time: 5.770909070968628
epoch 248 loss: 0.18329432755708694, elapse time: 5.777721405029297
epoch 249 loss: 0.17944934144616126, elapse time: 5.770384311676025
epoch 250 loss: 0.17888664752244948, elapse time: 5.761069059371948
epoch 251 loss: 0.18077483028173447, elapse time: 5.7499470710754395
epoch 252 loss: 0.1792318381369114, elapse time: 5.76431941986084
epoch 253 loss: 0.17828692123293877, elapse time: 5.7616126537323
epoch 254 loss: 0.17764729410409927, elapse time: 5.779590368270874
epoch 255 loss: 0.1814465679228306, elapse time: 5.760544538497925
epoch 256 loss: 0.18088076114654542, elapse time: 5.778975963592529
epoch 257 loss: 0.1829700879752636, elapse time: 5.7655346393585205
epoch 258 loss: 0.1810787983238697, elapse time: 5.760295867919922
epoch 259 loss: 0.18133334666490555, elapse time: 5.7723915576934814
epoch 260 loss: 0.17792693600058557, elapse time: 5.769621849060059
epoch 261 loss: 0.17860993072390557, elapse time: 5.778765916824341
epoch 262 loss: 0.17972847297787667, elapse time: 5.768159627914429
epoch 263 loss: 0.18245548903942108, elapse time: 5.758946418762207
epoch 264 loss: 0.1882544808089733, elapse time: 5.77054238319397
epoch 265 loss: 0.17968937680125235, elapse time: 5.7609992027282715
epoch 266 loss: 0.17553250938653947, elapse time: 5.764491081237793
epoch 267 loss: 0.176886622607708, elapse time: 5.77644681930542
epoch 268 loss: 0.17955861687660218, elapse time: 5.775018930435181
epoch 269 loss: 0.17985209748148917, elapse time: 5.7720372676849365
epoch 270 loss: 0.1796630933880806, elapse time: 5.751443862915039
epoch 271 loss: 0.18317769169807435, elapse time: 5.778909921646118
epoch 272 loss: 0.18197251707315446, elapse time: 5.753340244293213
epoch 273 loss: 0.18476615399122237, elapse time: 5.756244421005249
