imagen,modelo,pixeles_incendio,total_pixeles,porcentaje_incendio
14_Ejido de Vergel_Durango_bloque_34_x192_y256.tiff,model_final.pth,364,16384,2.2217
14_Ejido de Vergel_Durango_bloque_38_x448_y256.tiff,model_final.pth,62,16384,0.3784
14_Ejido de Vergel_Durango_bloque_4_x320_y0.tiff,model_final.pth,452,16384,2.7588
14_Ejido de Vergel_Durango_bloque_53_x192_y407.tiff,model_final.pth,1608,16384,9.8145
14_Ejido de Vergel_Durango_bloque_54_x256_y407.tiff,model_final.pth,2053,16384,12.5305
14_Ejido de Vergel_Durango_bloque_56_x384_y407.tiff,model_final.pth,217,16384,1.3245
14_El Carmen_Querétaro_bloque_4_x0_y64.tiff,model_final.pth,3058,16384,18.6646
14_El Carmen_Querétaro_bloque_5_x64_y64.tiff,model_final.pth,2418,16384,14.7583
14_El Ciruelo_Oaxaca_bloque_10_x128_y105.tiff,model_final.pth,549,16384,3.3508
14_El Ciruelo_Oaxaca_bloque_3_x138_y0.tiff,model_final.pth,1443,16384,8.8074
14_El Ciruelo_Oaxaca_bloque_9_x64_y105.tiff,model_final.pth,3119,16384,19.0369
14_La Cañada_Querétaro_bloque_2_x128_y0.tiff,model_final.pth,2681,16384,16.3635
14_La Cañada_Querétaro_bloque_3_x174_y0.tiff,model_final.pth,1947,16384,11.8835
14_La Cañada_Querétaro_bloque_5_x64_y64.tiff,model_final.pth,5339,16384,32.5867
14_La Palma_Querétaro_bloque_10_x0_y128.tiff,model_final.pth,10173,16384,62.0911
14_La Palma_Querétaro_bloque_15_x0_y160.tiff,model_final.pth,8230,16384,50.2319
14_La Palma_Querétaro_bloque_18_x192_y160.tiff,model_final.pth,2510,16384,15.3198
14_La Palma_Querétaro_bloque_2_x128_y0.tiff,model_final.pth,6029,16384,36.7981
14_San Juanito_Durango_bloque_12_x576_y64.tiff,model_final.pth,172,16384,1.0498
14_San Juanito_Durango_bloque_21_x448_y128.tiff,model_final.pth,2126,16384,12.9761
14_San Juanito_Durango_bloque_25_x0_y192.tiff,model_final.pth,1149,16384,7.0129
14_San Juanito_Durango_bloque_27_x128_y192.tiff,model_final.pth,1811,16384,11.0535
14_San Juanito_Durango_bloque_35_x583_y192.tiff,model_final.pth,2146,16384,13.0981
14_San Juanito_Durango_bloque_41_x320_y256.tiff,model_final.pth,291,16384,1.7761
14_San Juanito_Durango_bloque_50_x192_y320.tiff,model_final.pth,882,16384,5.3833
14_San Juanito_Durango_bloque_54_x448_y320.tiff,model_final.pth,246,16384,1.5015
14_San Juanito_Durango_bloque_58_x0_y384.tiff,model_final.pth,204,16384,1.2451
