imagen,modelo,pixeles_incendio,total_pixeles,porcentaje_incendio
15_24_Candelaria_Campeche_bloque_61_x192_y402.tiff,model_best.pth,4945,16384,30.1819
15_24_Candelaria_Campeche_bloque_64_x384_y402.tiff,model_best.pth,2673,16384,16.3147
15_24_Candelaria_Campeche_bloque_9_x0_y64.tiff,model_best.pth,3188,16384,19.458
15_24_División del Norte_Campeche_bloque_5_x64_y64.tiff,model_best.pth,1356,16384,8.2764
15_24_División del Norte_Campeche_bloque_8_x0_y86.tiff,model_best.pth,1041,16384,6.3538
15_24_El Aguacatal_Campeche_bloque_16_x64_y128.tiff,model_best.pth,8660,16384,52.8564
15_24_El Aguacatal_Campeche_bloque_33_x0_y296.tiff,model_best.pth,7025,16384,42.8772
15_24_El Aguacatal_Campeche_bloque_37_x256_y296.tiff,model_best.pth,3533,16384,21.5637
15_24_El Aguacatal_Campeche_bloque_5_x320_y0.tiff,model_best.pth,4360,16384,26.6113
15_24_El Aguacatal_Campeche_bloque_6_x384_y0.tiff,model_best.pth,942,16384,5.7495
15_24_Emiliano Zapata_Ciudad de México_bloque_13_x0_y192.tiff,model_best.pth,1363,16384,8.3191
15_24_Emiliano Zapata_Ciudad de México_bloque_16_x384_y192.tiff,model_best.pth,135,16384,0.824
15_24_Emiliano Zapata_Ciudad de México_bloque_19_x576_y192.tiff,model_best.pth,2428,16384,14.8193
15_24_Emiliano Zapata_Ciudad de México_bloque_1_x640_y0.tiff,model_best.pth,1281,16384,7.8186
15_24_Emiliano Zapata_Ciudad de México_bloque_20_x640_y192.tiff,model_best.pth,1710,16384,10.437
15_24_Emiliano Zapata_Ciudad de México_bloque_21_x704_y192.tiff,model_best.pth,1270,16384,7.7515
15_24_Emiliano Zapata_Ciudad de México_bloque_23_x0_y256.tiff,model_best.pth,3004,16384,18.335
15_24_Emiliano Zapata_Ciudad de México_bloque_28_x320_y256.tiff,model_best.pth,3952,16384,24.1211
15_24_Emiliano Zapata_Ciudad de México_bloque_46_x640_y320.tiff,model_best.pth,314,16384,1.9165
15_24_Emiliano Zapata_Ciudad de México_bloque_48_x0_y384.tiff,model_best.pth,499,16384,3.0457
15_24_Emiliano Zapata_Ciudad de México_bloque_55_x448_y384.tiff,model_best.pth,4800,16384,29.2969
15_24_Emiliano Zapata_Ciudad de México_bloque_59_x128_y448.tiff,model_best.pth,13223,16384,80.7068
15_24_Emiliano Zapata_Ciudad de México_bloque_64_x448_y448.tiff,model_best.pth,6607,16384,40.3259
15_24_Emiliano Zapata_Ciudad de México_bloque_68_x128_y512.tiff,model_best.pth,10689,16384,65.2405
15_24_Emiliano Zapata_Ciudad de México_bloque_70_x256_y512.tiff,model_best.pth,13636,16384,83.2275
15_24_Emiliano Zapata_Ciudad de México_bloque_73_x448_y512.tiff,model_best.pth,5454,16384,33.2886
15_24_Emiliano Zapata_Ciudad de México_bloque_74_x512_y512.tiff,model_best.pth,540,16384,3.2959
15_24_Emiliano Zapata_Ciudad de México_bloque_78_x256_y576.tiff,model_best.pth,11513,16384,70.2698
15_24_Emiliano Zapata_Ciudad de México_bloque_84_x256_y640.tiff,model_best.pth,5046,16384,30.7983
15_24_Emiliano Zapata_Ciudad de México_bloque_87_x128_y663.tiff,model_best.pth,1815,16384,11.0779
15_24_Emiliano Zapata_Ciudad de México_bloque_89_x256_y663.tiff,model_best.pth,2638,16384,16.1011
15_24_Emiliano Zapata_Ciudad de México_bloque_8_x512_y128.tiff,model_best.pth,639,16384,3.9001
15_24_Emiliano Zapata_Ciudad de México_bloque_9_x576_y128.tiff,model_best.pth,2450,16384,14.9536
15_24_Jonuta_Campeche_bloque_14_x192_y192.tiff,model_best.pth,9436,16384,57.5928
15_24_Jonuta_Campeche_bloque_21_x0_y320.tiff,model_best.pth,5468,16384,33.374
15_24_Jonuta_Campeche_bloque_29_x192_y384.tiff,model_best.pth,5907,16384,36.0535
15_24_Jonuta_Campeche_bloque_3_x128_y64.tiff,model_best.pth,2368,16384,14.4531
15_24_Jonuta_Campeche_bloque_5_x237_y64.tiff,model_best.pth,8078,16384,49.3042
15_24_Jonuta_Campeche_bloque_8_x128_y128.tiff,model_best.pth,2593,16384,15.8264
15_24_La Trinitaria_Chiapas_bloque_7_x64_y107.tiff,model_best.pth,2385,16384,14.5569
15_24_Venustiano Carranza_Chiapas_bloque_1_x64_y0.tiff,model_best.pth,625,16384,3.8147
15_Llano Grande_Chiapas_bloque_0_x0_y0.tiff,model_best.pth,5411,16384,33.0261
15_Llano Grande_Chiapas_bloque_1_x64_y0.tiff,model_best.pth,8397,16384,51.2512
15_Michoacán_bloque_14_x128_y128.tiff,model_best.pth,2749,16384,16.7786
15_Michoacán_bloque_15_x192_y128.tiff,model_best.pth,1722,16384,10.5103
15_Michoacán_bloque_18_x64_y192.tiff,model_best.pth,1182,16384,7.2144
15_Michoacán_bloque_2_x128_y0.tiff,model_best.pth,627,16384,3.8269
15_Michoacán_bloque_7_x64_y64.tiff,model_best.pth,2985,16384,18.219
15_Tuxpan de Bolaños_Nayarit_bloque_0_x0_y0.tiff,model_best.pth,62,16384,0.3784
15_Tuxpan de Bolaños_Nayarit_bloque_10_x170_y128.tiff,model_best.pth,26,16384,0.1587
15_Tuxpan de Bolaños_Nayarit_bloque_12_x64_y192.tiff,model_best.pth,238,16384,1.4526
15_Tuxpan de Bolaños_Nayarit_bloque_16_x64_y256.tiff,model_best.pth,135,16384,0.824
15_Tuxpan de Bolaños_Nayarit_bloque_17_x128_y256.tiff,model_best.pth,11,16384,0.0671
15_Tuxpan de Bolaños_Nayarit_bloque_19_x0_y262.tiff,model_best.pth,114,16384,0.6958
15_Tuxpan de Bolaños_Nayarit_bloque_20_x64_y262.tiff,model_best.pth,136,16384,0.8301
15_Xalisco_Nayarit_bloque_11_x1024_y1280.tiff,model_best.pth,1051,16384,6.4148
15_Xalisco_Nayarit_bloque_3_x1152_y1152.tiff,model_best.pth,423,16384,2.5818
16_24_Emiliano Zapata2_Ciudad de México_bloque_2_x120_y0.tiff,model_best.pth,218,16384,1.3306
